name,state,state_code
"Penn State Fayette, The Eberly Campus",Pennsylvania,PA
Penn State Greater Allegheny,Pennsylvania,PA
Penn State Harrisburg,Pennsylvania,PA
Penn State Hazleton,Pennsylvania,PA
Penn State Lehigh Valley,Pennsylvania,PA
Penn State Mont Alto,Pennsylvania,PA
Penn State New Kensington,Pennsylvania,PA
Penn State Schuylkill,Pennsylvania,PA
Penn State Shenango,Pennsylvania,PA
Penn State University Park,Pennsylvania,PA
Penn State Wilkes-Barre,Pennsylvania,PA
Penn State Worthington Scranton,Pennsylvania,PA
Penn State York,Pennsylvania,PA
Pennsylvania Academy of the Fine Arts,Pennsylvania,PA
Pennsylvania College of Art and Design,Pennsylvania,PA
Pennsylvania College of Health Sciences,Pennsylvania,PA
Pennsylvania College of Technology,Pennsylvania,PA
Pennsylvania Highlands Community College,Pennsylvania,PA
Pennsylvania Institute of Technology,Pennsylvania,PA
Pensacola State College,Florida,FL
Pepperdine University,California,CA
Peru State College,Nebraska,NE
Pfeiffer University,North Carolina,NC
Philander Smith College,Arkansas,AR
Phillips Community College of the University of Arkansas,Arkansas,AR
Phillips School of Nursing at Mount Sinai Beth Israel,New York,NY
Phoenix College,Arizona,AZ
Piedmont College,Georgia,GA
Piedmont Community College,North Carolina,NC
Piedmont International University,North Carolina,NC
Piedmont Technical College,South Carolina,SC
Piedmont Virginia Community College,Virginia,VA
Pierce College,Washington,WA
Pierpont Community and Technical College,West Virginia,WV
Pikes Peak Community College,Colorado,CO
Pillar College,New Jersey,NJ
Pima Community College,Arizona,AZ
Pine Manor College,Massachusetts,MA
Pine Technical & Community College,Minnesota,MN
Pinnacle Career Institute: Kansas City,Missouri,MO
Pitt Community College,North Carolina,NC
Pittsburg State University,Kansas,KS
Pittsburgh Institute of Aeronautics,Pennsylvania,PA
Pittsburgh Institute of Mortuary Science,Pennsylvania,PA
Pitzer College,California,CA
Plymouth State University,New Hampshire,NH
Point Loma Nazarene University,California,CA
Point Park University,Pennsylvania,PA
Point University,Georgia,GA
Polk State College,Florida,FL
Pomona College,California,CA
Pontifical Catholic University of Puerto Rico,,PR
Pontifical College Josephinum,Ohio,OH
Porterville College,California,CA
Portland Community College,Oregon,OR
Portland State University,Oregon,OR
Post University,Connecticut,CT
Potomac State College of West Virginia University,West Virginia,WV
Prairie State College,Illinois,IL
Prairie View A&M University,Texas,TX
Pratt Community College,Kansas,KS
Pratt Institute,New York,NY
Presbyterian College,South Carolina,SC
Prescott College,Arizona,AZ
Presentation College,South Dakota,SD
Prince George's Community College,Maryland,MD
Princeton University,New Jersey,NJ
Principia College,Illinois,IL
Providence Christian College,California,CA
Providence College,Rhode Island,RI
Pueblo Community College,Colorado,CO
Purdue University,Indiana,IN
Purdue University Northwest,Indiana,IN
Queens University of Charlotte,North Carolina,NC
Quincy College,Massachusetts,MA
Quincy University,Illinois,IL
Quinebaug Valley Community College,Connecticut,CT
Quinnipiac University,Connecticut,CT
Quinsigamond Community College,Massachusetts,MA
Rabbi Jacob Joseph School,New Jersey,NJ
Rabbinical Academy Mesivta Rabbi Chaim Berlin,New York,NY
Rabbinical College Beth Shraga,New York,NY
Rabbinical College Bobover Yeshiva B'nei Zion,New York,NY
Rabbinical College of America,New Jersey,NJ
Rabbinical College of Long Island,New York,NY
Rabbinical College of Ohr Shimon Yisroel,New York,NY
Rabbinical College of Telshe,Ohio,OH
Rabbinical Seminary of America,New York,NY
Radford University,Virginia,VA
Rainy River Community College,Minnesota,MN
Ramapo College of New Jersey,New Jersey,NJ
Randall University,Oklahoma,OK
Randolph College,Virginia,VA
Randolph Community College,North Carolina,NC
Randolph-Macon College,Virginia,VA
Ranger College,Texas,TX
Ranken Technical College,Missouri,MO
Rappahannock Community College,Virginia,VA
Raritan Valley Community College,New Jersey,NJ
Reading Area Community College,Pennsylvania,PA
Red Rocks Community College,Colorado,CO
Redlands Community College,Oklahoma,OK
Reed College,Oregon,OR
Reedley College,California,CA
Refrigeration School,Arizona,AZ
Regent University,Virginia,VA
Regis College,Massachusetts,MA
Regis University,Colorado,CO
Reinhardt University,Georgia,GA
Rend Lake College,Illinois,IL
Rensselaer Polytechnic Institute,New York,NY
Renton Technical College,Washington,WA
Research College of Nursing,Missouri,MO
Restaurant School at Walnut Hill College,Pennsylvania,PA
Resurrection University,Illinois,IL
Rhode Island College,Rhode Island,RI
Rhode Island School of Design,Rhode Island,RI
Rhodes College,Tennessee,TN
Rice University,Texas,TX
Richard Bland College,Virginia,VA
Richland College,Texas,TX
Richland Community College,Illinois,IL
Richmond Community College,North Carolina,NC
Rider University,New Jersey,NJ
Ridgewater College,Minnesota,MN
Ringling College of Art and Design,Florida,FL
Rio Hondo College,California,CA
Rio Salado College,Arizona,AZ
Ripon College,Wisconsin,WI
River Parishes Community College,Louisiana,LA
River Valley Community College,New Hampshire,NH
Riverland Community College,Minnesota,MN
Riverside City College,California,CA
Rivier University,New Hampshire,NH
Roane State Community College,Tennessee,TN
Roanoke College,Virginia,VA
Roanoke-Chowan Community College,North Carolina,NC
Robert Morris University,Pennsylvania,PA
Robert Morris University: Chicago,Illinois,IL
Roberts Wesleyan College,New York,NY
Robeson Community College,North Carolina,NC
Rochester College,Michigan,MI
Rochester Community and Technical College,Minnesota,MN
Rochester Institute of Technology,New York,NY
Rock Valley College,Illinois,IL
Rockford University,Illinois,IL
Rockhurst University,Missouri,MO
Rockingham Community College,North Carolina,NC
Rockland Community College,New York,NY
Rocky Mountain College,Montana,MT
Roger Williams University,Rhode Island,RI
Rogers State University,Oklahoma,OK
Rogue Community College,Oregon,OR
Rollins College,Florida,FL
Roosevelt University,Illinois,IL
Rose State College,Oklahoma,OK
Rose-Hulman Institute of Technology,Indiana,IN
Rosedale Bible College,Ohio,OH
Rosedale Technical College,Pennsylvania,PA
Roseman University of Health Sciences,Nevada,NV
Rosemont College,Pennsylvania,PA
Rowan College at Burlington County,New Jersey,NJ
Rowan College at Gloucester,New Jersey,NJ
Rowan University,New Jersey,NJ
Rowan-Cabarrus Community College,North Carolina,NC
Roxbury Community College,Massachusetts,MA
Rush University,Illinois,IL
Rust College,Mississippi,MS
Rutgers University,New Jersey,NJ
"Rutgers, The State University of New Jersey: Camden Campus",New Jersey,NJ
"Rutgers, The State University of New Jersey: Newark Campus",New Jersey,NJ
Sacramento City College,California,CA
Sacred Heart Major Seminary,Michigan,MI
Sacred Heart University,Connecticut,CT
Saddleback College,California,CA
Sage College,California,CA
Saginaw Chippewa Tribal College,Michigan,MI
Saginaw Valley State University,Michigan,MI
Saint Anselm College,New Hampshire,NH
Saint Anthony College of Nursing,Illinois,IL
Saint Augustine's University,North Carolina,NC
Saint Bonaventure University,New York,NY
Saint Cloud State University,Minnesota,MN
Saint Johns River State College,Florida,FL
Saint Joseph's College,Indiana,IN
Saint Joseph's College of Maine,Maine,ME
Saint Joseph's University,Pennsylvania,PA
Saint Leo University,Florida,FL
Saint Louis University,Missouri,MO
Saint Luke's College of Health Sciences,Missouri,MO
Saint Martin's University,Washington,WA
Saint Mary's College,Indiana,IN
Saint Mary's College of California,California,CA
Saint Michael's College,Vermont,VT
Saint Peter's University,New Jersey,NJ
Saint Thomas University,Florida,FL
Saint Xavier University,Illinois,IL
Salem College,North Carolina,NC
Salem Community College,New Jersey,NJ
Salem International University,West Virginia,WV
Salem State University,Massachusetts,MA
Salisbury University,Maryland,MD
Salish Kootenai College,Montana,MT
Salt Lake Community College,Utah,UT
Salve Regina University,Rhode Island,RI
Sam Houston State University,Texas,TX
Samford University,Alabama,AL
Sampson Community College,North Carolina,NC
San Antonio College,Texas,TX
San Bernardino Valley College,California,CA
San Diego Christian College,California,CA
San Diego City College,California,CA
San Diego Mesa College,California,CA
San Diego Miramar College,California,CA
San Diego State University,California,CA
San Francisco Art Institute,California,CA
San Francisco Conservatory of Music,California,CA
San Francisco State University,California,CA
San Jacinto College : South Campus,Texas,TX
San Joaquin Delta College,California,CA
San Jose City College,California,CA
San Jose State University,California,CA
San Juan College,New Mexico,NM
Sandhills Community College,North Carolina,NC
Santa Ana College,California,CA
Santa Barbara City College,California,CA
Santa Clara University,California,CA
Santa Fe College,Florida,FL
Santa Fe Community College,New Mexico,NM
Santa Monica College,California,CA
Santa Rosa Junior College,California,CA
Santiago Canyon College,California,CA
Sarah Lawrence College,New York,NY
Sauk Valley Community College,Illinois,IL
Savannah College of Art and Design,Georgia,GA
Savannah State University,Georgia,GA
Savannah Technical College,Georgia,GA
Schenectady County Community College,New York,NY
Schiller International University,Florida,FL
School of Advertising Art,Ohio,OH
School of the Art Institute of Chicago,Illinois,IL
School of the Museum of Fine Arts,Massachusetts,MA
School of Visual Arts,New York,NY
Schoolcraft College,Michigan,MI
Schreiner University,Texas,TX
Scott Community College,Iowa,IA
Scottsdale Community College,Arizona,AZ
Scripps College,California,CA
Seattle Central College,Washington,WA
Seattle Pacific University,Washington,WA
Seattle University,Washington,WA
Selma University,Alabama,AL
Seminole State College,Oklahoma,OK
Seminole State College of Florida,Florida,FL
Sessions College for Professional Design,Arizona,AZ
Seton Hall University,New Jersey,NJ
Seton Hill University,Pennsylvania,PA
Sewanee: The University of the South,Tennessee,TN
Seward County Community College,Kansas,KS
Shasta Bible College and Graduate School,California,CA
Shasta College,California,CA
Shaw University,North Carolina,NC
Shawnee Community College,Illinois,IL
Shawnee State University,Ohio,OH
Shelton State Community College,Alabama,AL
Shenandoah University,Virginia,VA
Shepherd University,West Virginia,WV
Sheridan College,Wyoming,WY
Shiloh University,Iowa,IA
Shippensburg University of Pennsylvania,Pennsylvania,PA
Shor Yoshuv Rabbinical College,New York,NY
Shoreline Community College,Washington,WA
Shorter University,Georgia,GA
Siena College,New York,NY
Siena Heights University,Michigan,MI
Sierra College,California,CA
Sierra Nevada College,Nevada,NV
Silicon Valley University,California,CA
Silver Lake College of the Holy Family,Wisconsin,WI
Simmons College,Massachusetts,MA
Simpson College,Iowa,IA
Simpson University,California,CA
Sinclair Community College,Ohio,OH
Sinte Gleska University,South Dakota,SD
Sisseton Wahpeton College,South Dakota,SD
Sitting Bull College,North Dakota,ND
Skagit Valley College,Washington,WA
Skidmore College,New York,NY
Skyline College,California,CA
Slippery Rock University of Pennsylvania,Pennsylvania,PA
Smith College,Massachusetts,MA
Snead State Community College,Alabama,AL
Snow College,Utah,UT
Soka University of America,California,CA
Solano Community College,California,CA
Somerset Community College,Kentucky,KY
Sonoma State University,California,CA
South Arkansas Community College,Arkansas,AR
South Carolina State University,South Carolina,SC
South Central College,Minnesota,MN
South Coast College,California,CA
South College,Tennessee,TN
South Dakota School of Mines and Technology,South Dakota,SD
South Dakota State University,South Dakota,SD
South Florida State College,Florida,FL
South Georgia State College,Georgia,GA
South Louisiana Community College,Louisiana,LA
South Mountain Community College,Arizona,AZ
South Piedmont Community College,North Carolina,NC
South Plains College,Texas,TX
South Puget Sound Community College,Washington,WA
South Seattle College,Washington,WA
South Suburban College of Cook County,Illinois,IL
South Texas College,Texas,TX
Southeast Arkansas College,Arkansas,AR
Southeast Community College,Nebraska,NE
Southeast Kentucky Community and Technical College,Kentucky,KY
Southeast Missouri Hospital College of Nursing and Health Sciences,Missouri,MO
Southeast Missouri State University,Missouri,MO
Southeast Technical Institute,South Dakota,SD
Southeastern Baptist College,Mississippi,MS
Southeastern Community College,Iowa,IA
Southeastern Community College,North Carolina,NC
Southeastern Illinois College,Illinois,IL
Southeastern Louisiana University,Louisiana,LA
Southeastern Oklahoma State University,Oklahoma,OK
Southeastern Technical College,Georgia,GA
Southeastern University,Florida,FL
Southern Adventist University,Tennessee,TN
Southern Arkansas University,Arkansas,AR
Southern Arkansas University Tech,Arkansas,AR
Southern Baptist Theological Seminary,Kentucky,KY
Southern California Institute of Architecture,California,CA
Southern California Institute of Technology,California,CA
Southern California Seminary,California,CA
Southern Connecticut State University,Connecticut,CT
Southern Crescent Technical College,Georgia,GA
Southern Illinois University Carbondale,Illinois,IL
Southern Illinois University Edwardsville,Illinois,IL
Southern Maine Community College,Maine,ME
Southern Methodist University,Texas,TX
Southern Nazarene University,Oklahoma,OK
Southern New Hampshire University,New Hampshire,NH
Southern Oregon University,Oregon,OR
Southern Regional Technical College,Georgia,GA
Southern State Community College,Ohio,OH
Southern Union State Community College,Alabama,AL
Southern University and Agricultural and Mechanical College,Louisiana,LA
Southern University at New Orleans,Louisiana,LA
Southern University at Shreveport,Louisiana,LA
Southern Utah University,Utah,UT
Southern Vermont College,Vermont,VT
Southern Virginia University,Virginia,VA
Southern Wesleyan University,South Carolina,SC
Southern West Virginia Community and Technical College,West Virginia,WV
Southside Virginia Community College,Virginia,VA
Southwest Baptist University,Missouri,MO
Southwest Minnesota State University,Minnesota,MN
Southwest Mississippi Community College,Mississippi,MS
Southwest Tennessee Community College,Tennessee,TN
Southwest Texas Junior College,Texas,TX
Southwest University,Louisiana,LA
Southwest Virginia Community College,Virginia,VA
Southwest Wisconsin Technical College,Wisconsin,WI
Southwestern Adventist University,Texas,TX
Southwestern Assemblies of God University,Texas,TX
Southwestern Baptist Theological Seminary,Texas,TX
Southwestern Christian College,Texas,TX
Southwestern Christian University,Oklahoma,OK
Southwestern College,California,CA
Southwestern College,Kansas,KS
Southwestern Community College,Iowa,IA
Southwestern Community College,North Carolina,NC
Southwestern Illinois College,Illinois,IL
Southwestern Michigan College,Michigan,MI
Southwestern Oklahoma State University,Oklahoma,OK
Southwestern Oregon Community College,Oregon,OR
Southwestern University,Texas,TX
Spalding University,Kentucky,KY
Spartanburg Community College,South Carolina,SC
Spartanburg Methodist College,South Carolina,SC
Spelman College,Georgia,GA
Spokane Community College,Washington,WA
Spokane Falls Community College,Washington,WA
Spoon River College,Illinois,IL
Spring Arbor University,Michigan,MI
Spring Hill College,Alabama,AL
Springfield College,Massachusetts,MA
Springfield Technical Community College,Massachusetts,MA
St. Ambrose University,Iowa,IA
St. Andrews University,North Carolina,NC
St. Augustine College,Illinois,IL
St. Catherine University,Minnesota,MN
St. Charles Borromeo Seminary - Overbrook,Pennsylvania,PA
St. Charles Community College,Missouri,MO
St. Clair County Community College,Michigan,MI
St. Cloud Technical and Community College,Minnesota,MN
St. Edward's University,Texas,TX
St. Elizabeth College of Nursing,New York,NY
St. Francis College,New York,NY
St. Francis Medical Center College of Nursing,Illinois,IL
St. Francis University,Pennsylvania,PA
St. Gregory's University,Oklahoma,OK
St. John Fisher College,New York,NY
St. John Vianney College Seminary,Florida,FL
St. John's College,Illinois,IL
St. John's College,Maryland,MD
St. John's College,New Mexico,NM
St. John's University,New York,NY
St. John's University,Minnesota,MN
St. Joseph Seminary College,Louisiana,LA
St. Joseph's College New York: Suffolk Campus,New York,NY
St. Joseph's College of Nursing,New York,NY
"St. Joseph's College, New York",New York,NY
St. Lawrence University,New York,NY
St. Louis Christian College,Missouri,MO
St. Louis Community College,Missouri,MO
St. Louis Community College at Florissant Valley,Missouri,MO
St. Louis Community College at Meramec,Missouri,MO
St. Luke's College,Iowa,IA
St. Mary's College of Maryland,Maryland,MD
St. Mary's University,Texas,TX
St. Mary's University of Minnesota,Minnesota,MN
St. Mary-of-the-Woods College,Indiana,IN
St. Norbert College,Wisconsin,WI
St. Olaf College,Minnesota,MN
St. Paul College,Minnesota,MN
St. Petersburg College,Florida,FL
St. Philip's College,Texas,TX
St. Thomas Aquinas College,New York,NY
St. Vincent College,Pennsylvania,PA
St. Vincent's College,Connecticut,CT
Stanford University,California,CA
Stanly Community College,North Carolina,NC
Stark State College,Ohio,OH
"State College of Florida, Manatee-Sarasota",Florida,FL
State Fair Community College,Missouri,MO
State Technical College of Missouri,Missouri,MO
Stephen F. Austin State University,Texas,TX
Stephens College,Missouri,MO
Sterling College,Vermont,VT
Sterling College,Kansas,KS
Stetson University,Florida,FL
Stevens Institute of Business & Arts,Missouri,MO
Stevens Institute of Technology,New Jersey,NJ
Stevenson University,Maryland,MD
Stillman College,Alabama,AL
Stockton University,New Jersey,NJ
Stone Child College,Montana,MT
Stonehill College,Massachusetts,MA
Stratford University: Falls Church,Virginia,VA
Stratford University: Woodbridge,Virginia,VA
Suffolk County Community College,New York,NY
Suffolk University,Massachusetts,MA
Sul Ross State University,Texas,TX
Sullivan County Community College,New York,NY
SUM Bible College & Theological Seminary,California,CA
SUNY College at Brockport,New York,NY
SUNY College at Buffalo,New York,NY
SUNY College at Cortland,New York,NY
SUNY College at Fredonia,New York,NY
SUNY College at Geneseo,New York,NY
SUNY College at New Paltz,New York,NY
SUNY College at Old Westbury,New York,NY
SUNY College at Oneonta,New York,NY
SUNY College at Oswego,New York,NY
SUNY College at Plattsburgh,New York,NY
SUNY College at Potsdam,New York,NY
SUNY College at Purchase,New York,NY
SUNY College of Agriculture and Technology at Cobleskill,New York,NY
SUNY College of Agriculture and Technology at Morrisville,New York,NY
SUNY College of Environmental Science and Forestry,New York,NY
SUNY College of Technology at Alfred,New York,NY
SUNY College of Technology at Canton,New York,NY
SUNY College of Technology at Delhi,New York,NY
SUNY Downstate Medical Center,New York,NY
SUNY Empire State College,New York,NY
SUNY Farmingdale State College,New York,NY
SUNY Maritime College,New York,NY
SUNY Polytechnic Institute,New York,NY
SUNY University at Albany,New York,NY
SUNY University at Binghamton,New York,NY
SUNY University at Buffalo,New York,NY
SUNY University at Stony Brook,New York,NY
SUNY Upstate Medical University,New York,NY
Surry Community College,North Carolina,NC
Susquehanna University,Pennsylvania,PA
Sussex County Community College,New Jersey,NJ
Swarthmore College,Pennsylvania,PA
Sweet Briar College,Virginia,VA
Syracuse University,New York,NY
Tabor College,Kansas,KS
Tacoma Community College,Washington,WA
Taft College,California,CA
Talladega College,Alabama,AL
Tallahassee Community College,Florida,FL
Talmudic University,Florida,FL
Talmudical Academy of New Jersey,New Jersey,NJ
Talmudical Institute of Upstate New York,New York,NY
Talmudical Seminary Oholei Torah,New York,NY
Talmudical Yeshiva of Philadelphia,Pennsylvania,PA
Tarleton State University,Texas,TX
Tarrant County College,Texas,TX
Taylor University,Indiana,IN
Technical Career Institutes,New York,NY
Technical College of the Lowcountry,South Carolina,SC
Telshe Yeshiva-Chicago,Illinois,IL
Temple College,Texas,TX
Temple University,Pennsylvania,PA
Tennessee State University,Tennessee,TN
Tennessee Technological University,Tennessee,TN
Tennessee Wesleyan University,Tennessee,TN
Terra State Community College,Ohio,OH
Texarkana College,Texas,TX
Texas A&M International University,Texas,TX
Texas A&M University,Texas,TX
Texas A&M University-Commerce,Texas,TX
Texas A&M University-Corpus Christi,Texas,TX
Texas A&M University-Kingsville,Texas,TX
Texas A&M University-Texarkana,Texas,TX
Texas Christian University,Texas,TX
Texas College,Texas,TX
Texas County Technical College,Missouri,MO
Texas Lutheran University,Texas,TX
Texas Southern University,Texas,TX
Texas State Technical College,Texas,TX
Texas State University,Texas,TX
Texas Tech University,Texas,TX
Texas Tech University Health Sciences Center,Texas,TX
Texas Wesleyan University,Texas,TX
Texas Woman's University,Texas,TX
Thaddeus Stevens College of Technology,Pennsylvania,PA
The Citadel,South Carolina,SC
The College of New Jersey,New Jersey,NJ
The King's College,New York,NY
The King's University,Texas,TX
The Master's University and Seminary,California,CA
The New School College of Performing Arts,New York,NY
The Sage Colleges,New York,NY
The Workforce Institute's City College,Pennsylvania,PA
Thiel College,Pennsylvania,PA
Thomas Aquinas College,California,CA
Thomas College,Maine,ME
Thomas Edison State University,New Jersey,NJ
Thomas Jefferson University: East Falls,Pennsylvania,PA
Thomas More College,Kentucky,KY
Thomas More College of Liberal Arts,New Hampshire,NH
Thomas Nelson Community College,Virginia,VA
Thomas University,Georgia,GA
Three Rivers Community College,Missouri,MO
Three Rivers Community College,Connecticut,CT
Tidewater Community College,Virginia,VA
Tiffin University,Ohio,OH
Tillamook Bay Community College,Oregon,OR
Toccoa Falls College,Georgia,GA
Tohono O'odham Community College,Arizona,AZ
Tompkins Cortland Community College,New York,NY
Torah Temimah Talmudical Seminary,New York,NY
Tougaloo College,Mississippi,MS
Touro College,New York,NY
Touro University Worldwide,California,CA
Towson University,Maryland,MD
Transylvania University,Kentucky,KY
Treasure Valley Community College,Oregon,OR
Trevecca Nazarene University,Tennessee,TN
Tri-County Community College,North Carolina,NC
Tri-County Technical College,South Carolina,SC
Tri-State Bible College,Ohio,OH
Trident Technical College,South Carolina,SC
Trident University International,California,CA
Trine University,Indiana,IN
Trinidad State Junior College,Colorado,CO
Trinity Baptist College,Florida,FL
Trinity Bible College,North Dakota,ND
Trinity Christian College,Illinois,IL
Trinity College,Connecticut,CT
Trinity College of Florida,Florida,FL
Trinity College of Nursing & Health Sciences,Illinois,IL
Trinity International University,Illinois,IL
Trinity University,Texas,TX
Trinity Valley Community College,Texas,TX
Trinity Washington University,,DC
Triton College,Illinois,IL
Trocaire College,New York,NY
Troy University,Alabama,AL
Truckee Meadows Community College,Nevada,NV
Truett McConnell University,Georgia,GA
Truman State University,Missouri,MO
Tufts University,Massachusetts,MA
Tulane University,Louisiana,LA
Tulsa Community College,Oklahoma,OK
Tunxis Community College,Connecticut,CT
Turabo University,,PR
Tusculum College,Tennessee,TN
Tuskegee University,Alabama,AL
Tyler Junior College,Texas,TX
U.T.A. Mesivta-Kiryas Joel,New York,NY
Ulster County Community College,New York,NY
Umpqua Community College,Oregon,OR
Union College,Nebraska,NE
Union College,Kentucky,KY
Union College,New York,NY
Union County College,New Jersey,NJ
Union Institute & University,Ohio,OH
Union University,Tennessee,TN
United States Sports Academy,Alabama,AL
United Talmudical Seminary,New York,NY
United Tribes Technical College,North Dakota,ND
Unity College,Maine,ME
Universal Technology College of Puerto Rico,,PR
Universidad Adventista de las Antillas,,PR
Universidad del Este,,PR
Universidad Metropolitana,,PR
Universidad Pentecostal Mizpa,,PR
Universidad Politecnica de Puerto Rico,,PR
University College of San Juan,,PR
University of Akron,Ohio,OH
University of Akron: Wayne College,Ohio,OH
University of Alabama,Alabama,AL
University of Alabama at Birmingham,Alabama,AL
University of Alabama in Huntsville,Alabama,AL
University of Alaska Anchorage,Alaska,AK
University of Alaska Fairbanks,Alaska,AK
University of Alaska Southeast,Alaska,AK
University of Antelope Valley,California,CA
University of Arizona,Arizona,AZ
University of Arkansas,Arkansas,AR
University of Arkansas at Fort Smith,Arkansas,AR
University of Arkansas at Little Rock,Arkansas,AR
University of Arkansas at Monticello,Arkansas,AR
University of Arkansas at Pine Bluff,Arkansas,AR
University of Arkansas Community College Rich Mountain,Arkansas,AR
University of Arkansas for Medical Sciences,Arkansas,AR
University of Arkansas Pulaski-Technical College,Arkansas,AR
University of Arkansas: Community College at Batesville,Arkansas,AR
University of Arkansas: Community College at Hope,Arkansas,AR
University of Arkansas: Community College at Morrilton,Arkansas,AR
University of Baltimore,Maryland,MD
University of Bridgeport,Connecticut,CT
University of California: Berkeley,California,CA
University of California: Davis,California,CA
University of California: Irvine,California,CA
University of California: Los Angeles,California,CA
University of California: Merced,California,CA
University of California: Riverside,California,CA
University of California: San Diego,California,CA
University of California: Santa Barbara,California,CA
University of California: Santa Cruz,California,CA
University of Central Arkansas,Arkansas,AR
University of Central Florida,Florida,FL
University of Central Missouri,Missouri,MO
University of Central Oklahoma,Oklahoma,OK
University of Charleston,West Virginia,WV
University of Chicago,Illinois,IL
University of Cincinnati,Ohio,OH
University of Cincinnati: Blue Ash College,Ohio,OH
University of Cincinnati: Clermont College,Ohio,OH
University of Colorado Boulder,Colorado,CO
University of Colorado Colorado Springs,Colorado,CO
University of Colorado Denver,Colorado,CO
University of Connecticut,Connecticut,CT
University of Dallas,Texas,TX
University of Dayton,Ohio,OH
University of Delaware,Delaware,DE
University of Denver,Colorado,CO
University of Detroit Mercy,Michigan,MI
University of Dubuque,Iowa,IA
University of Evansville,Indiana,IN
University of Findlay,Ohio,OH
University of Florida,Florida,FL
University of Georgia,Georgia,GA
University of Great Falls,Montana,MT
University of Hartford,Connecticut,CT
University of Hawaii at Hilo,Hawaii,HI
University of Hawaii at Manoa,Hawaii,HI
University of Hawaii: Hawaii Community College,Hawaii,HI
University of Hawaii: Honolulu Community College,Hawaii,HI
University of Hawaii: Kapiolani Community College,Hawaii,HI
University of Hawaii: Kauai Community College,Hawaii,HI
University of Hawaii: Leeward Community College,Hawaii,HI
University of Hawaii: Maui College,Hawaii,HI
University of Hawaii: West Oahu,Hawaii,HI
University of Hawaii: Windward Community College,Hawaii,HI
University of Holy Cross,Louisiana,LA
University of Houston,Texas,TX
University of Houston-Clear Lake,Texas,TX
University of Houston-Downtown,Texas,TX
University of Houston-Victoria,Texas,TX
University of Idaho,Idaho,ID
University of Illinois at Chicago,Illinois,IL
University of Illinois at Urbana-Champaign,Illinois,IL
University of Illinois: Springfield,Illinois,IL
University of Indianapolis,Indiana,IN
University of Iowa,Iowa,IA
University of Jamestown,North Dakota,ND
University of Kansas,Kansas,KS
University of Kansas Medical Center,Kansas,KS
University of Kentucky,Kentucky,KY
University of La Verne,California,CA
University of Louisiana at Lafayette,Louisiana,LA
University of Louisiana at Monroe,Louisiana,LA
University of Louisville,Kentucky,KY
University of Lynchburg,Virginia,VA
University of Maine,Maine,ME
University of Maine at Augusta,Maine,ME
University of Maine at Farmington,Maine,ME
University of Maine at Fort Kent,Maine,ME
University of Maine at Machias,Maine,ME
University of Maine at Presque Isle,Maine,ME
University of Management and Technology,Virginia,VA
University of Mary,North Dakota,ND
University of Mary Hardin-Baylor,Texas,TX
University of Mary Washington,Virginia,VA
University of Maryland: Baltimore,Maryland,MD
University of Maryland: Baltimore County,Maryland,MD
University of Maryland: College Park,Maryland,MD
University of Maryland: Eastern Shore,Maryland,MD
University of Maryland: University College,Maryland,MD
University of Massachusetts Amherst,Massachusetts,MA
University of Massachusetts Boston,Massachusetts,MA
University of Massachusetts Dartmouth,Massachusetts,MA
University of Massachusetts Lowell,Massachusetts,MA
University of Memphis,Tennessee,TN
University of Miami,Florida,FL
University of Michigan,Michigan,MI
University of Michigan: Dearborn,Michigan,MI
University of Michigan: Flint,Michigan,MI
University of Minnesota: Crookston,Minnesota,MN
University of Minnesota: Duluth,Minnesota,MN
University of Minnesota: Morris,Minnesota,MN
University of Minnesota: Rochester,Minnesota,MN
University of Minnesota: Twin Cities,Minnesota,MN
University of Mississippi,Mississippi,MS
University of Mississippi Medical Center,Mississippi,MS
University of Missouri: Columbia,Missouri,MO
University of Missouri: Kansas City,Missouri,MO
University of Missouri: St. Louis,Missouri,MO
University of Mobile,Alabama,AL
University of Montana,Montana,MT
University of Montana: Western,Montana,MT
University of Montevallo,Alabama,AL
University of Mount Olive,North Carolina,NC
University of Mount Union,Ohio,OH
University of Nebraska - Kearney,Nebraska,NE
University of Nebraska - Lincoln,Nebraska,NE
University of Nebraska - Omaha,Nebraska,NE
University of Nebraska Medical Center,Nebraska,NE
University of Nevada: Las Vegas,Nevada,NV
University of Nevada: Reno,Nevada,NV
University of New England,Maine,ME
University of New Hampshire,New Hampshire,NH
University of New Hampshire at Manchester,New Hampshire,NH
University of New Haven,Connecticut,CT
University of New Mexico,New Mexico,NM
University of New Orleans,Louisiana,LA
University of North Alabama,Alabama,AL
University of North Carolina at Asheville,North Carolina,NC
University of North Carolina at Chapel Hill,North Carolina,NC
University of North Carolina at Charlotte,North Carolina,NC
University of North Carolina at Greensboro,North Carolina,NC
University of North Carolina at Pembroke,North Carolina,NC
University of North Carolina at Wilmington,North Carolina,NC
University of North Carolina School of the Arts,North Carolina,NC
University of North Dakota,North Dakota,ND
University of North Florida,Florida,FL
University of North Georgia,Georgia,GA
University of North Texas,Texas,TX
University of North Texas at DallasSystem,Texas,TX
University of Northern Colorado,Colorado,CO
University of Northern Iowa,Iowa,IA
University of Northwestern - St. Paul,Minnesota,MN
University of Northwestern Ohio,Ohio,OH
University of Notre Dame,Indiana,IN
University of Oklahoma,Oklahoma,OK
University of Oregon,Oregon,OR
